FOS ID,FOS NAME,YEAR,TOTAL PUBLICATIONS,TOTAL CITATIONS,INFIELD CITATIONS,OUTFIELD CITATIONS,IMAPACT FACTOR,REVISED IMPACT FACTOR,FIRST HIGHEST RECEIVED FROM ID,FIRST HIGHEST RECEIVED FROM NAME,IN NUMBER,1-Revised I.F,SECOND HIGHEST RECEIVED FROM ID,SECOND HIGHEST RECEIVED FROM NAME,IN NUMBER,2-Revised I.F,THIRD HIGHEST RECEIVED FROM ID,THIRD HIGHEST RECEIVED FROM NAME,IN NUMBER,3-Revised I.F,FOURTH HIGHEST RECEIVED FROM ID,FOURTH HIGHEST RECEIVED FROM NAME,IN NUMBER,4-Revised I.F,FIFTH HIGHEST RECEIVED FROM ID,FIFTH HIGHEST RECEIVED FROM NAME,IN NUMBER,5-Revised I.F
23,simulation,1958,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,simulation,1959,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,simulation,1960,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,simulation,1961,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,simulation,1962,1,1,1,0,1.0,0.0,23,simulation,1,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,simulation,1963,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,simulation,1964,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,simulation,1965,3,5,0,5,1.6666666666666667,1.6666666666666667,5,computer_education,2,1.0,1,scientific_computing,2,1.0,12,databases_,1,1.3333333333333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,simulation,1966,6,6,5,1,1.0,0.16666666666666666,23,simulation,5,0.16666666666666666,12,databases_,1,0.8333333333333334,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,simulation,1967,7,10,3,7,1.4285714285714286,1.0,23,simulation,3,1.0,24,operating_systems,2,1.1428571428571428,1,scientific_computing,2,1.1428571428571428,21,software_engineering,1,1.2857142857142858,18,hardware_and_architecture,1,1.2857142857142858
23,simulation,1968,20,29,7,22,1.45,1.1,5,computer_education,14,0.75,23,simulation,7,1.1,24,operating_systems,3,1.3,21,software_engineering,2,1.35,18,hardware_and_architecture,1,1.4
23,simulation,1969,30,49,18,31,1.6333333333333333,1.0333333333333334,23,simulation,18,1.0333333333333334,24,operating_systems,11,1.2666666666666666,9,networks_and_communications,4,1.5,7,programming_languages,4,1.5,18,hardware_and_architecture,3,1.5333333333333334
23,simulation,1970,30,51,33,18,1.7,0.6,23,simulation,33,0.6,5,computer_education,5,1.5333333333333334,24,operating_systems,3,1.6,18,hardware_and_architecture,3,1.6,16,real_time_and_embedded_systems,1,1.6666666666666667
23,simulation,1971,55,86,72,14,1.5636363636363637,0.2545454545454545,23,simulation,72,0.2545454545454545,24,operating_systems,3,1.509090909090909,21,software_engineering,3,1.509090909090909,18,hardware_and_architecture,3,1.509090909090909,8,algorithms_and_theory,2,1.5272727272727273
23,simulation,1972,28,72,32,40,2.5714285714285716,1.4285714285714286,23,simulation,32,1.4285714285714286,24,operating_systems,21,1.8214285714285714,16,real_time_and_embedded_systems,5,2.392857142857143,18,hardware_and_architecture,3,2.4642857142857144,9,networks_and_communications,3,2.4642857142857144
23,simulation,1973,59,117,65,52,1.9830508474576272,0.8813559322033898,23,simulation,65,0.8813559322033898,24,operating_systems,19,1.6610169491525424,9,networks_and_communications,9,1.8305084745762712,21,software_engineering,5,1.8983050847457628,7,programming_languages,5,1.8983050847457628
23,simulation,1974,59,102,56,46,1.728813559322034,0.7796610169491526,23,simulation,56,0.7796610169491526,24,operating_systems,13,1.5084745762711864,18,hardware_and_architecture,7,1.6101694915254237,8,algorithms_and_theory,6,1.6271186440677967,12,databases_,4,1.6610169491525424
23,simulation,1975,44,73,39,34,1.6590909090909092,0.7727272727272727,23,simulation,39,0.7727272727272727,9,networks_and_communications,10,1.4318181818181819,12,databases_,7,1.5,18,hardware_and_architecture,6,1.5227272727272727,7,programming_languages,4,1.5681818181818181
23,simulation,1976,57,116,71,45,2.0350877192982457,0.7894736842105263,23,simulation,71,0.7894736842105263,21,software_engineering,15,1.7719298245614035,24,operating_systems,12,1.8245614035087718,9,networks_and_communications,5,1.9473684210526316,18,hardware_and_architecture,4,1.9649122807017543
23,simulation,1977,67,137,94,43,2.044776119402985,0.6417910447761194,23,simulation,94,0.6417910447761194,12,databases_,13,1.8507462686567164,24,operating_systems,6,1.955223880597015,16,real_time_and_embedded_systems,5,1.9701492537313432,8,algorithms_and_theory,5,1.9701492537313432
23,simulation,1978,103,174,111,63,1.6893203883495145,0.6116504854368932,23,simulation,111,0.6116504854368932,7,programming_languages,13,1.5631067961165048,24,operating_systems,12,1.5728155339805825,8,algorithms_and_theory,10,1.5922330097087378,21,software_engineering,9,1.6019417475728155
23,simulation,1979,110,167,107,60,1.518181818181818,0.5454545454545454,23,simulation,107,0.5454545454545454,24,operating_systems,22,1.3181818181818181,9,networks_and_communications,19,1.3454545454545455,7,programming_languages,5,1.4727272727272727,21,software_engineering,4,1.481818181818182
23,simulation,1980,71,107,53,54,1.5070422535211268,0.7605633802816901,23,simulation,53,0.7605633802816901,5,computer_education,14,1.3098591549295775,12,databases_,10,1.3661971830985915,18,hardware_and_architecture,7,1.408450704225352,8,algorithms_and_theory,5,1.4366197183098592
23,simulation,1981,116,264,229,35,2.2758620689655173,0.3017241379310345,23,simulation,229,0.3017241379310345,24,operating_systems,8,2.206896551724138,18,hardware_and_architecture,7,2.2155172413793105,9,networks_and_communications,6,2.2241379310344827,6,distributed_and_parallel_computing,4,2.2413793103448274
23,simulation,1982,75,103,60,43,1.3733333333333333,0.5733333333333334,23,simulation,60,0.5733333333333334,7,programming_languages,7,1.28,24,operating_systems,6,1.2933333333333332,9,networks_and_communications,6,1.2933333333333332,8,algorithms_and_theory,5,1.3066666666666666
23,simulation,1983,106,176,146,30,1.6603773584905661,0.2830188679245283,23,simulation,146,0.2830188679245283,7,programming_languages,6,1.6037735849056605,5,computer_education,5,1.6132075471698113,9,networks_and_communications,4,1.6226415094339623,2,information_retrieval,3,1.6320754716981132
23,simulation,1984,117,187,149,38,1.5982905982905984,0.3247863247863248,23,simulation,149,0.3247863247863248,24,operating_systems,13,1.4871794871794872,9,networks_and_communications,7,1.5384615384615385,8,algorithms_and_theory,5,1.5555555555555556,6,distributed_and_parallel_computing,4,1.564102564102564
23,simulation,1985,107,179,143,36,1.6728971962616823,0.3364485981308411,23,simulation,143,0.3364485981308411,21,software_engineering,7,1.6074766355140186,18,hardware_and_architecture,7,1.6074766355140186,8,algorithms_and_theory,5,1.6261682242990654,16,real_time_and_embedded_systems,4,1.6355140186915889
23,simulation,1986,157,290,211,79,1.8471337579617835,0.5031847133757962,23,simulation,211,0.5031847133757962,18,hardware_and_architecture,20,1.7197452229299364,24,operating_systems,13,1.7643312101910829,9,networks_and_communications,13,1.7643312101910829,15,artificial_intelligence,7,1.802547770700637
23,simulation,1987,182,344,237,107,1.89010989010989,0.5879120879120879,23,simulation,237,0.5879120879120879,24,operating_systems,24,1.7582417582417582,9,networks_and_communications,20,1.7802197802197801,7,programming_languages,15,1.8076923076923077,15,artificial_intelligence,13,1.8186813186813187
23,simulation,1988,275,759,507,252,2.76,0.9163636363636364,23,simulation,507,0.9163636363636364,9,networks_and_communications,48,2.5854545454545454,7,programming_languages,38,2.6218181818181816,21,software_engineering,34,2.6363636363636362,18,hardware_and_architecture,30,2.650909090909091
